Organization Name,Legacy_Account_ID,Contact ID,ACT_LegacyID,MembershipWorks_ID,Contact Name,Address,City,State,Postal Code,Country,Email Address,Phone,Website,Self-Study Enrollment Date,Self-Study Expires,Award Date,Award Expiration,County,Licensed Capacity,Number of Classrooms,Number of Staff,Days of Operation,Hours of Operation,Accredited Program,Affiliate Membership,accredited_program,Join Date
KinderCare Learning Center #000291,,,,5dfaa500e79c695b3b30dfb8,Laura LeBeau,10003 W. Lincoln Hwy.,Frankfort,IL,60423,US,000291@kindercare.com,815-806-0331,www.kindercare.com/,5/29/2018,5/29/2020,6/8/2016,6/8/2020,Will,153,8,29,M-F,6:30 - 6:00,Accredited Program,,accredited_program,7-Feb-07
Camille's Kidz,,,,5dfaa500e79c695b3b30dfb9,Laura Miller,204 N. Rodgers St.,,OK,74962,US,camillecarlton@yahoo.com,918-773-5815,,6/4/2018,6/4/2020,6/1/2019,6/1/2023,Sequoyah,86,8,10,M-F,5:45 - 6:00,Accredited Program,,accredited_program,25-Mar-10
KinderCare Learning Center #301487,,,,5dfaa500e79c695b3b30dfba,Laura Walker,77 Caren Ave.,Worthington,OH,43085,US,301487@klcorp.com;lwalker@kindercare.com,614-888-9696,www.kindercare.com/,4/3/2019,4/3/2021,4/10/2017,4/10/2021,Franklin,203,9,22,M-F,6:30 - 6:00,Accredited Program,,accredited_program,1-Dec-03
KinderCare Learning Center #000230,,,,5dfaa500e79c695b3b30dfbb,Lauren Muran,1875 Ebert Ave.,Kettering,OH,45439,US,000230@klcorp.com,937-298-6581,www.kindercare.com/,6/9/2017,6/9/2019,5/10/2019,5/10/2023,Montgomery,58,4,5,M-F,6:00 - 6:00,Accredited Program,,accredited_program,20-Nov-07
KinderCare Learning Center #301657,,,,5dfaa500e79c695b3b30dfbc,Lauren Walls,13445 Switzer Road,Overland Park,KS,66221,US,301657@klcorp.com;lwalls@kindercare.com,913-814-8509,www.kindercare.com/,5/9/2019,5/9/2021,5/9/2017,5/9/2021,Johnson,175,11,20,M-F,6:30 - 6:30,Accredited Program,,accredited_program,13-Dec-04
Peppermint Patti's Academy Inc.,,,,5dfaa500e79c695b3b30dfbd,Laurie Rabah,2306 S. 39th St.,Fort Pierce,FL,34981,US,ppacademy@att.net;admin@peppermintpattisacademy.com,772-461-4752,,12/29/2018,12/29/2020,1/4/2017,1/4/2021,Saint Lucie,87,6,12,M-F,6:30 - 6:00,Accredited Program,,accredited_program,30-Mar-11
Oakfield Child Enrichment Center,,,,5dfaa500e79c695b3b30dfbe,Lee Smith and Channing Wells,3520 E. 120th St.,Cleveland,OH,44105,US,channing@allaroundchildren.com,216-561-2446,,9/13/2018,9/13/2020,9/16/2016,9/16/2020,Cuyahoga,220,21,18,M-F,6:00am-midnight,Accredited Program,,accredited_program,8-May-08
KinderCare Learning Center #300852,,,,5dfaa500e79c695b3b30dfbf,LeeAnn McCollum,226 Meadowfield Drive,Rochester Hills,MI,48307,US,300852@klcorp.com,248-651-7171,www.kindercare.com/,8/22/2017,8/22/2019,8/7/2019,8/7/2023,Oakland,93,6,9,M-F,6:30 - 6:30,Accredited Program,,accredited_program,1-Feb-13
Manchaca United Methodist Church CDC,,,,5dfaa500e79c695b3b30dfc0,Leigh Anne Moore,1011 FM 1626,Manchaca,TX,78652,US,leighanne@manchacaumc.org,512-280-2552,manchacaumccdc.com/,9/28/2017,9/28/2019,7/8/2019,7/8/2023,Travis,140,9,25,M-F,9:00 - 2:30,Accredited Program,,accredited_program,19-Sep-06
Kids' Safari Learning Center,,,,5dfaa500e79c695b3b30dfc1,Leighanne Dockerty,207 Commerce Pkwy.,Cottage Grove,WI,53527,US,leighanned@kids-safari.com,608-839-9095,www.kids-safari.com,5/3/2019,5/3/2021,5/8/2017,5/8/2021,Dane,257,15,46,M-F,6:00 - 5:30,Accredited Program,,accredited_program,12-Mar-10
KinderCare Learning Center #000623,,,,5dfaa500e79c695b3b30dfc2,Leisel Anderson,51 Office Park Drive,Henderson,NV,89074,US,000623@klcorp.com,702-990-8502,www.kindercare.com/,7/13/2017,7/13/2019,12/19/2018,12/19/2022,Clark,134,7,18,M-F,6:00 - 6:30,Accredited Program,,accredited_program,3-May-10
Pima Country Day School,,,,5dfaa501e79c695b3b30dfc3,Lenora Alba,3107 E. Pima St.,Tucson,AZ,85716,US,lenora.a@lcjbinc.com;kelli.m@lcjbinc.com,520.323.8375,www.smallmiraclesaz.com,8/11/2018,8/11/2020,8/9/2016,8/9/2020,Pima,99,6,12,M-F,6:30 - 6:30,Accredited Program,,accredited_program,12-Jul-99
KinderCare Learning Center #000773,,,,5dfaa501e79c695b3b30dfc4,LeQuille Green-Madison,4300 Silverleaf Drive,Virginia Beach,VA,23462,US,000773@kindercare.com,757-497-8323,www.kindercare.com/,8/8/2017,8/8/2019,8/14/2019,8/14/2023,,165,6,18,M-F,5:30 - 6:30,Accredited Program,,accredited_program,29-Mar-06
Ebenezer Child Care Centers - Southside,,,,5dfaa501e79c695b3b30dfc5,Leslie Hundt,1496 S. 29th St.,Milwaukee,WI,53215,US,lhundt@ebenezerchildcare.com,414-643-5699,www.ebenezerchildcare.com,9/7/2016,9/7/2018,4/23/2018,4/23/2022,Milwaukee,118,7,11,M-F,6:00 - 6:00,Accredited Program,,accredited_program,9-Feb-09
KinderCare Learning Center #300708,,,,5dfaa501e79c695b3b30dfc6,Leslita Reed,5351 Cleveland Ave.,Columbus,OH,43231,US,300708@kindercare.com;lereed@kindercare.com,614-891-4444,www.kindercare.com/,7/11/2018,7/11/2020,7/12/2016,7/12/2020,Franklin,142,7,16,M-F,6:15-6:00,Accredited Program,,accredited_program,16-Mar-09
Learning Edge Childcare & Preschool,,,,5dfaa501e79c695b3b30dfc7,Leticia Schkeryantz and Katie Kuehl,100 W. Marquette Ave.,Oak Creek,WI,53154,US,director.oakcreek@learningedgechildcare.com,414-762-0600,lschkeryantz@learningedgechildcare.com,5/15/2017,5/15/2019,7/17/2018,7/17/2022,Milwaukee,152,9,27,M-F,6:00 - 6:00,Accredited Program,,accredited_program,27-Sep-07
Christian Child Care,,,,5dfaa501e79c695b3b30dfc8,Liberty Canady,721 Wyatt Ave.,Lincoln,IL,62656,US,christianchildcare1989@gmail.com,217-732-5750,217-836-4994 D's cell phone,8/8/2016,8/8/2018,7/9/2018,7/9/2022,Logan,107,6,18,M-F,6:30 - 5:30,Accredited Program,,accredited_program,25-Jul-08
O2B Kids College 4,,,,5dfaa501e79c695b3b30dfc9,Lieba Gouin,1555 N.W. 23rd Ave.,Gainesville,FL,32605,US,lieba@o2bkids.com,352-374-2202,www.o2bkids.com,8/29/2018,8/29/2020,9/2/2016,9/2/2020,Alachua,262,6,27,M-F,6:30 - 7:00,Accredited Program,,accredited_program,26-Dec-08
Little Steps Academy,,,,5dfaa501e79c695b3b30dfca,Liliana Perez and Luz Ortiz,4718 Vilma Lane,West Palm Beach,FL,33417,US,littlestepsacademydaycare@gmail.com,561-684-0197,,7/12/2017,7/12/2019,7/3/2019,7/3/2023,Palm Beach,63,7,12,M-F,6:00 - 6:00,Accredited Program,,accredited_program,23-Mar-07
Bay Hope Day School,,,,5dfaa501e79c695b3b30dfcb,Liliana Rogers,17030 Lakeshore Rd.,Lutz,FL,33558,US,lrogers@bayhopedayschool.com,813-960-1694,www.bayhopedayschool.com,6/13/2019,6/13/2021,7/24/2017,7/24/2021,Hillsborough,274,18,40,M-F,6:30 - 6:00,Accredited Program,,accredited_program,19-Sep-03
KinderCare Learning Center #300887,,,,5dfaa501e79c695b3b30dfcc,Liliana Snowden,4250 Gunn Highway,Tampa,FL,33618,US,300887@kindercare.com,813-963-2062,www.kindercare.com/,10/8/2018,10/8/2020,10/10/2016,10/10/2020,Hillsborough,100,8,15,M-F,6:30 - 6:30,Accredited Program,,accredited_program,14-Dec-04
Learning Ladder,,,,5dfaa501e79c695b3b30dfcd,Linda and Amy Kudrna,312 W. Cottage Grove Road,Cottage Grove,WI,53527,US,linda@learningladder.com;amy@learningladder.com,608-839-5437,learningladder.com,7/15/2019,7/15/2021,7/31/2017,7/31/2021,Dane,120,8,26,M-F,6:30 - 6:00,Accredited Program,,accredited_program,15-Mar-11
Horizons Unlimited Christian Academy,,,,5dfaa501e79c695b3b30dfce,Linda Ferdinand,2674 Dr. Martin Luther King Jr. Way,Sarasota,FL,34234,US,horizonschristianacademy@verizon.net,941-957-0409,www.horizonsunlimitedchristianacademy.com,9/26/2017,9/26/2019,8/26/2019,8/26/2023,Sarasota,80,5,11,M-F,7:30 - 5:30,Accredited Program,,accredited_program,9-Oct-06
Oh To Be Kids,,,,5dfaa501e79c695b3b30dfcf,Linda Garcia,6680 W. Newberry Road,Gainesville,FL,32605,US,lindag@o2bkids.com,352-332-6400,www.o2bkids.com,4/5/2019,4/5/2021,4/17/2017,4/17/2021,Alachua,204,10,30,M-F,6:30 - 7:00,Accredited Program,,accredited_program,18-Jul-06
Faith Christian School,,,,5dfaa501e79c695b3b30dfd0,Linda Hankins,924 W. 13th,Sulphur,OK,73086,US,blaljh@brightok.net,580-622-6531,,12/19/2016,12/19/2018,8/2/2018,8/2/2022,Murray,60,5,7,M-F,7:00 - 6:00,Accredited Program,,accredited_program,17-Nov-08
"Kid's World of Chipley, Inc.",,,,5dfaa501e79c695b3b30dfd1,Linda Hood,1012 Brickyard Road,Chipley,FL,32428,US,kidsworldchipley@bellsouth.net,850-638-5437,,8/29/2018,8/29/2020,9/12/2016,9/12/2020,Washington,159,8,17,M-F,6:15-5:30,Accredited Program,,accredited_program,9-May-08
KinderCare Learning Center #300370,,,,5dfaa501e79c695b3b30dfd2,Linda Marsh,1354 Rodd Field Road,Corpus Christi,TX,78412,US,300370@kindercare.com;lmarsh@kindercare.com,361-991-6571,,3/30/2018,3/30/2020,11/13/2019,11/13/2023,Nueces,108,6,14,M-F,6:00 -6:30,Accredited Program,,accredited_program,26-Sep-05
Knowledge Beginnings #075301,,,,5dfaa501e79c695b3b30dfd3,Linda Pleasant,250 Cornerstone Drive,Cary,NC,27519,US,075301@klcorp.com,919-466-8684,www.knowledgebeginnings.com/,6/13/2016,6/13/2018,1/30/2018,1/30/2022,Wake,196,10,25,M-F,6:30 - 6:30,Accredited Program,,accredited_program,4-Sep-09
In His Arms Early Childhood Center,,,,5dfaa501e79c695b3b30dfd4,Linda Wingreen,417 S. Kane St.,Burlington,WI,53105,US,lcwingreen@gmail.com;iha.learning@gmail.com,262-763-3883,www.oslb.org,11/12/2019,11/12/2021,11/10/2017,11/10/2021,Racine,50,8,16,M-F,7:00-5:30,Accredited Program,,accredited_program,23-May-11
KinderCare Learning Center #301189,,,,5dfaa501e79c695b3b30dfd5,Lindsay Aiello,25005 Middlebelt Road,Farmington Hills,MI,48336,US,301189@klcorp.com;middlebelt@kindercare.com,248-477-4040,www.kindercare.com/,10/5/2017,10/5/2019,9/11/2019,9/11/2023,Oakland,118,5,11,M-F,6:30-6:30,Accredited Program,,accredited_program,27-Jan-11
Curlew Learning Center,,,,5dfaa501e79c695b3b30dfd6,Lindsey Wells,2285 Curlew Road,Dunedin,FL,34698,US,curlewlearningcenter@yahoo.com,727-784-6162,www.curlewlearningcenter.com,4/6/2018,4/6/2020,4/7/2016,4/7/2020,Pinellas,113,7,11,M-F,6:15 - 6:30,Accredited Program,,accredited_program,24-Feb-04
Children's Lighthouse III,,,,5dfaa501e79c695b3b30dfd7,Lisa Berry,6624 NW 63rd,Oklahoma City,OK,73132,US,l.berry@cox.net,405-721-1830,,12/12/2017,12/12/2019,11/19/2019,11/19/2023,Oklahoma,150,8,14,M-F,6:00 - 6:00,Accredited Program,,accredited_program,12-Nov-14
KinderCare Learning Center #300879,,,,5dfaa502e79c695b3b30dfd8,Lisa Biehl,2001 Hard Road,Columbus,OH,43235,US,300879@klcorp.com;lbiehl@kindercare.com,614-764-2994,www.kindercare.com/,4/30/2018,4/30/2020,5/3/2016,5/3/2020,Franklin,107,6,10,M-F,6:15 - 6:00,Accredited Program,,accredited_program,1-Dec-03
Canadian Valley Child Care Center,,,,5dfaa502e79c695b3b30dfd9,Lisa Bryan,1401 Michigan Ave.,Chickasha,OK,73018,US,bryanl@cvtech.edu,405-222-7581,,8/8/2016,8/8/2018,3/22/2018,3/22/2022,Grady,56,4,6,M-F,7:30-5:30,Accredited Program,,accredited_program,17-Apr-06
LEISD Childcare Programs @ Herschel Zellars Center,,,,5dfaa502e79c695b3b30dfda,Lisa Hooten,300 Lobo Lane,Little Elm,TX,75068,US,lhooten@littleelmisd.net,972-292-1908,,4/20/2015,4/20/2017,5/1/2018,5/1/2022,Denton,100,7,24,M-F,6:45 - 5:45,Accredited Program,,accredited_program,21-Apr-15
KinderCare Learning Center #300913,,,,5dfaa502e79c695b3b30dfdb,Lisa J. Guardado,3800 Basswood Blvd.,Fort Worth,TX,76137,US,300913@klcorp.com,817-232-9474,www.kindercare.com/,3/20/2017,3/20/2019,1/29/2019,1/29/2023,Tarrant,132,6,13,M-F,6:00 - 6:30,Accredited Program,,accredited_program,20-Jul-09
Sunrise Preschools #136,,,,5dfaa502e79c695b3b30dfdc,Lisa Jones,3401 W. Union Hills Drive,Phoenix,AZ,85027,US,sun289@sunrisepreschools.com,480-706-2500,www.sunrisepreschools.com,3/15/2018,3/15/2020,1/18/2016,1/18/2020,Maricopa,235,10,30,M-F,5:30 - 6:30,Accredited Program,,accredited_program,16-Jul-13
Getz Preschool,,,,5dfaa502e79c695b3b30dfde,Lisa South,625 W. Cornell Drive,Tempe,AZ,85283,US,lisa.south@tempeschools.org,480-897-6233,www.tempeschools.org,10/3/2016,10/3/2018,6/5/2018,6/5/2022,Maricopa,325,11,30,M-Th,9:10-3:40,Accredited Program,,accredited_program,31-Aug-07
The Bon View School for Early Childhood Education,,,,5dfaa502e79c695b3b30dfdf,Lisa Zambito,1645 Buford Road,Richmond,VA,23235,US,lzambito@bonviewschool.com,804-320-7043,www.bonviewschool.com/,9/21/2016,9/21/2018,6/1/2018,6/1/2022,Chesterfield,277,13,27,M-F,9:00 - 2:00,Accredited Program,,accredited_program,23-Feb-07
The Goddard School - Snohomish,,,,5dfaa502e79c695b3b30dfe0,Lissa Knox and Robyn Larson Rondeau,"13119 Seattle Hill Road, Bldg. 2",Snohomish,WA,98296,US,dsnohomishwa@goddardschools.com,425-379-9300,www.goddardschool.com,11/11/2018,11/11/2020,11/11/2016,11/11/2020,Snohomish,140,9,31,M-F,7:00 - 6:00,Accredited Program,,accredited_program,15-Mar-11
O2B Kids College 2,,,,5dfaa502e79c695b3b30dfe1,Lissette Avalos,4929 NW 43rd St.,Gainesville,FL,32606,US,lissette@o2bkids.com,352-371-4202,www.o2bkids.com,8/24/2018,8/24/2020,5/13/2019,5/13/2023,Alachua,140,5,22,M-F,6:30 - 6:30,Accredited Program,,accredited_program,3-Apr-09
World of Kids Academy LLC,,,,5dfaa502e79c695b3b30dfe2,Lissette Rodriguez-Diaz,8130 N.W. 56 St.,Doral,FL,33166,US,lrodri85@bellsouth.net,305-593-7010,worldofkids.net,6/4/2015,6/4/2017,12/2/2016,12/2/2020,Miami-Dade,288,13,39,M-F,7:00 - 6:30,Accredited Program,,accredited_program,
Puffin Learning Academy,,,,5dfaa502e79c695b3b30dfe3,Lizzette Hernandez,"1287 E. Newport Center Drive, Ste. 211",Deerfield Beach,FL,33442,US,lizzette@puffinschool.com,954-570-9897,puffinlearningacademy.com,6/26/2019,6/26/2021,6/30/2017,6/30/2021,Broward,222,8,12,M-F,7:00 - 6:00,Accredited Program,,accredited_program,28-May-10
KinderCare Learning Center #301021,,,,5dfaa502e79c695b3b30dfe4,Lois Burnley,2 Atlantic Court,Atlantic Beach,FL,32233,US,301021@kindercare.com,904-249-0888,www.kindercare.com/,7/5/2018,7/5/2020,6/14/2016,6/14/2020,Duval,100,7,11,M-F,6:15 - 6:15,Accredited Program,,accredited_program,26-Apr-10
Love This Day School,,,,5dfaa502e79c695b3b30dfe5,Lora Geerdes,4517 E. 29th St.,Tucson,AZ,85711,US,lora.g@lcjbinc.com;kelli.m@lcjbinc.com,520.748.1605,www.mini-skool.com,7/20/2019,7/20/2021,7/20/2017,7/20/2021,Pima,58,5,10,M-F,6:00 - 6:30;M-F 5:30 am -6:30 pm,Accredited Program,,accredited_program,2-Feb-99
Riverbend Christian School,,,,5dfaa502e79c695b3b30dfe6,Lori Martin,4214 Capital of Texas Hwy. N.,Austin,TX,78746,US,lmartin@riverbend.com,512-327-4067,,5/15/2018,5/15/2020,6/2/2016,6/2/2020,Travis,210,15,46,M-F,9:00 - 1:30,Accredited Program,,accredited_program,21-May-15
KinderCare Learning Center #301023,,,,5dfaa502e79c695b3b30dfe7,Lori Wrobliski,4305 Mustang Ave.,Rosenberg,TX,77471,US,301023@kindercare.com;lwrobliski@kindercare.com,281-341-6447,www.kindercare.com/,12/10/2019,12/10/2021,1/18/2018,1/18/2022,Fort Bend,109,4,7,M-F,6:00 - 6:30,Accredited Program,,accredited_program,26-Apr-10
Puddle Jumpers Child Enrichment Center,,,,5dfaa502e79c695b3b30dfe8,Lydia Bush,120 Bascom Court,Columbus,GA,31909,US,lydia.puddlejumper@knology.net,706-507-3623,www.puddlejumperscec.net,5/31/2019,5/31/2021,6/2/2017,6/2/2021,Muscogee,165,9,23,M-F,6:30 - 6:30,Accredited Program,,accredited_program,5-Mar-10
KinderCare Learning Center #300421,,,,5dfaa502e79c695b3b30dfe9,Lynnette Dowers,1459 E. Kemper Road,Cincinnati,OH,45246,US,300421@klcorp.com,513-771-8787,www.kindercare.com/,1/30/2017,1/30/2019,11/26/2018,11/26/2022,Hamilton,177,9,22,M-F,6:15-6:15,Accredited Program,,accredited_program,11-Mar-09
KinderCare Learning Center #000275,,,,5dfaa502e79c695b3b30dfea,Ma'Shawn Jones,9131 Forest Lane,Dallas,TX,75243,US,000275@kindercare.com;majones@kindercare.com,972-234-3174,www.kindercare.com,3/15/2018,3/15/2020,2/19/2016,2/19/2020,Dallas,150,6,14,M-F,6:30 - 6:30,Accredited Program,,accredited_program,6-Feb-14
Legacy Childhood Education Centers,,,,5dfaa502e79c695b3b30dfeb,Mac McCrory and Julie Basinger,"1020 S. Elm Place, Broken Arrow, OK 74012",Broken Arrow,OK,74012,US,accounting@legacycec.com,918-258-3448,,5/11/2018,5/11/2020,10/22/2019,10/22/2023,Tulsa,87,6,12,M-F,6:30 - 6:00,Accredited Program,,accredited_program,11-May-15
Legacy Childhood Education Centers,,,,5dfaa502e79c695b3b30dfec,Mac McCrory and Sabra Horton,"4744 S. Mingo Road, Tulsa, OK 74145",Tulsa,OK,74146,US,mingo@legacycec.com;accounting@legacycec.com,918-663-9727,,5/11/2018,5/11/2020,10/10/2019,10/10/2023,Tulsa,94,5,9,M-F,6:30 - 6:00,Accredited Program,,accredited_program,11-May-15
Legacy Childhood Education Centers,,,,5dfaa502e79c695b3b30dfed,Mac McCrory and Sabrina LeMaster,9135 E. 61st St.,Tulsa,OK,74133,US,61st@legacycec.com;accounting@legacycec.com,918-250-5537,,7/6/2018,7/6/2020,10/28/2019,10/28/2023,Tulsa,85,6,10,M-F,6:30 - 6:00,Accredited Program,,accredited_program,18-Aug-14
La Petite Academy #7153,,,,5dfaa502e79c695b3b30dfee,Mackenzie Bruns,2380 Montana Ave.,Sun Prairie,WI,53590,US,7153@lapetite.com,608-837-0233,www.lapetite.com,6/12/2018,6/12/2020,5/11/2016,5/11/2020,Dane,150,10,17,M-F,6:30 - 6:00,Accredited Program,,accredited_program,10-Apr-11
"Abby's Child Enrichment Center, Inc.",,,,5dfaa502e79c695b3b30dfef,Mandy Soucy,2012 Terrace Court,Florence,KY,41042,US,mandyhhabbys@gmail.com,859-384-8932,www.abbysnky.com,1/2/2018,1/2/2020,10/29/2019,10/29/2023,Boone,121,6,15,M-F,6:30 - 6:00,Accredited Program,,accredited_program,17-Jul-13
Broadview Children's Center,,,,5dfaa503e79c695b3b30dff0,Mara Choloski,1880 SW 62nd Ave.,North Lauderdale,FL,33068,US,grismileidy.leonardo@mycircletime.net;bubion@bellsouth.net;amy.ackermann@mycircletime.net,954-975-5373,,2/6/2018,2/6/2020,1/3/2020,1/3/2024,Broward,110,6,9,M-F,6:30 - 7:00,Accredited Program,,accredited_program,8-Nov-06
New Friendship Education and Culture Center,,,,5dfaa503e79c695b3b30dff1,Marcia McCloud,3107 E. Lake Ave.,Tampa,FL,33610,US,mccloud_marcia@yahoo.com,813-247-3806,,8/14/2018,8/14/2020,5/13/2016,5/13/2020,Hillsborough,228,8,15,M-F,6:00 - 6:00,Accredited Program,,accredited_program,15-Apr-04
Bright Start Childcare LLC,,,,5dfaa503e79c695b3b30dff2,Marcia St. Hilaire-Finn,1202 Kennedy St. NW,Washington,DC,20011,US,marcia@brightstartdconline.com,202-722-2273,brightstartcares.com,5/10/2018,5/10/2020,5/9/2016,5/9/2020,Washington,76,7,19,sun- sat,7:00AM-1:00AM,Accredited Program,,accredited_program,14-Jul-10
"St. Paul's Nursery School of Fairfield, Inc.",,,,5dfaa503e79c695b3b30dff3,Margee Ready,661 Old Post Road,Fairfield,CT,6824,US,directors@stpaulsnurseryschool.net,203-255-1902,www.stpaulsfairfield.org,2/6/2017,2/6/2019,7/16/2018,7/16/2022,Fairfield,104,11,18,M-F,"9-12, 12:15-3:15",Accredited Program,,accredited_program,24-May-06
KinderCare Learning Center #300725,,,,5dfaa503e79c695b3b30dff4,Maria A. Hernandez,7460 Kimberly Blvd.,North Lauderdale,FL,33068,US,300725@klcorp.com,954-721-7520,www.kindercare.com/,11/9/2018,11/9/2020,11/9/2016,11/9/2020,Broward,85,6,13,M-F,6:30 - 6:30,Accredited Program,,accredited_program,31-Dec-04
ASKA Childcare Center,,,,5dfaa503e79c695b3b30dff5,Maria Caino and Belkibel Gil,517 S. Jog Road,West Palm Beach,FL,33415,US,bgaskachildcarecenter@gmail.com;askachildcarecenter@gmail.com,561-683-1506,,1/23/2018,1/23/2020,2/13/2019,2/13/2020,Palm Beach,47,4,9,M-F,7:00 - 6:00,Accredited Program,,accredited_program,7-Mar-11
KinderCare Learning Center #000555,,,,5dfaa503e79c695b3b30dff6,Maria Carbini,5480 Rochester Rd.,Troy,MI,48085,US,000555@klcorp.com,248-828-0630,www.kindercare.com/,6/3/2016,6/3/2018,1/2/2018,1/2/2022,Oakland,130,6,19,M-F,6:30 - 6:30,Accredited Program,,accredited_program,22-Oct-07
RCMA Plant City Child Development Center,,,,5dfaa503e79c695b3b30dff7,Maria Cristina Dragustinovis,1402 W. Knights Griffin Road,Plant City,FL,33565,US,plantcity@rcma.org;mariadr@rcma.org,813-707-7011,,5/31/2018,5/31/2020,6/17/2016,6/17/2020,Hillsborough,75,6,12,M-F,6:45 - 5:15,Accredited Program,,accredited_program,29-Aug-06
Dino Daycare and Preschool,,,,5dfaa503e79c695b3b30dff8,Maria Esther Enriquez,6 Highland Ave.,National City,CA,91950,US,admin@dinodaycare.com,619-434-5295,www.dinodaycare.com,1/15/2019,1/15/2021,1/16/2017,1/16/2021,San Diego,48,3,7,M-F,6:30 - 6:00,Accredited Program,,accredited_program,18-Dec-13
El Presidio Day School,,,,5dfaa503e79c695b3b30dff9,Maria Estrella,430 N. Main St.,Tucson,AZ,85701,US,maria.e@lcjbinc.com;kelli.m@lcjbinc.com,520-884-1211,www.smallmiraclesaz.com,8/24/2016,8/24/2018,8/13/2018,8/13/2022,Pima,120,8,14,M-F,6:00 - 6:30,Accredited Program,,accredited_program,26-Aug-16
Leap Academy,,,,5dfaa503e79c695b3b30dffa,Maria Fitz-Gibbon,290 Corporate Drive,Madison,WI,53714,US,maria@leapacademychildcare.com,608-249-5273,www.poohbearchildcare.com,4/23/2018,4/23/2020,2/1/2019,2/1/2020,Dane,100,10,18,M-F,6:30-6:00,Accredited Program,,accredited_program,24-Aug-11
KinderCare Learning Center #000435,,,,5dfaa503e79c695b3b30dffb,Maria Heer,1640 Eisenhower Lane,Lisle,IL,60532,US,000435@klcorp.com,630-964-1944,www.kindercare.com/,8/30/2018,8/30/2020,9/26/2016,9/26/2020,DuPage,108,6,11,M-F,6:30 - 6:00,Accredited Program,,accredited_program,27-Mar-09
Kishwaukee College Early Childhood Center,,,,5dfaa503e79c695b3b30dffc,Maria Lombardo,21193 Malta Road,Malta,IL,60150,US,mlombardo@kish.edu,815-825-9880,www.kishwaukeecollege.edu,10/24/2017,10/24/2019,7/10/2019,7/10/2023,DeKalb,50,2,5/15(wkstdy),M-F,7:15 - 5:15,Accredited Program,,accredited_program,16-Feb-09
Sunshine Learning Center,,,,5dfaa503e79c695b3b30dffd,Maria Scholtz,4143 Tamiami Tr E,Naples,FL,34112,US,sunshinelearningnaples@gmail.com,239-775-5437,www.sunshinelc.com,5/30/2018,5/30/2020,9/9/2019,9/9/2023,Collier,30,1,3,M-F,7:00 - 5:30,Accredited Program,,accredited_program,30-May-18
Lightbridge Academy of Iselin,,,,5dfaa503e79c695b3b30dffe,Maria Thompson,116 Grand Street Floor 1,Iselin,NJ,8830,US,iselin@lightbridgeacademy.com,732-404-1010,www.lightbridgeacademy.com,1/18/2019,1/18/2021,8/19/2019,8/19/2023,Middlesex,170,9,41,M-F,7:00 - 6:30,Accredited Program,,accredited_program,20-Apr-16
CDI Head Start - Murguia,,,,5dfaa503e79c695b3b30dfff,Maricela Gonzalez,1645 S. 36th St.,Milwaukee,WI,53215,US,mgonzalez@cdihsmilwaukee.org,(414) 206-2887,www.centrohispanomke.org,7/2/2018,7/2/2020,7/3/2019,7/3/2023,Milwaukee,193,10,28,M-F,7:00 - 5:00,Accredited Program,,accredited_program,10-Mar-14
KinderCare Learning Center #301009,,,,5dfaa503e79c695b3b30e000,Maricela Perez,15170 Judson Road,San Antonio,TX,78247,US,301009@kindercare.com;judsonatstahl@kindercare.com,210-655-8775,www.kindercare.com/,6/21/2018,6/21/2020,6/20/2016,6/20/2020,Bexar,110,6,13,M-F,6:30-6:30,Accredited Program,,accredited_program,10-May-06
Autumn Leaf Academy,,,,5dfaa503e79c695b3b30e001,Marie Carnley,3007 South Daniels Road,Plant City,FL,33566,US,autumnleafacademy@yahoo.com,813-752-4561,www.autumnleafacademy.com,5/27/2016,5/27/2018,1/4/2018,1/4/2022,Hilllsborough,115,6,11,M-F,6:00 - 6:00,Accredited Program,,accredited_program,18-May-05
"Kids at Work Learning Center, LLC",,,,5dfaa503e79c695b3b30e002,Marie Keda Sicar and Shana Beaumont,1127 48th St.,West Palm Beach,FL,33407,US,kedasicar76@gmail.com;littlemansion52@gmail.com,561-842-1230,,8/25/2017,8/25/2019,10/15/2019,10/15/2023,Palm Beach,152,7,13,M-F,6:30 - 6:00,Accredited Program,,accredited_program,6-Dec-07
